step,opt_time,step_time,diff_norm
0,-1,6,0.000011389169610804033
1,-1,7,2.000175907993933
2,-1,0,2.0001759084961446
3,-1,0,2.0001759084961446
4,-1,1,2.000175907912081
5,-1,6,1.0000930707246602
6,-1,0,1.000093071337108
7,-1,0,1.000093071337108
8,-1,1,1.0000930687318303
9,-1,0,1.0000930687318303
10,-1,1,1.0000930715030072
11,12,4,1.0000930728693942
12,-1,5,3.00030163244497
13,-1,0,3.0003016332079104
14,-1,0,3.0003016332079104
15,-1,1,3.000301632732234
16,-1,1,3.000301632732234
17,7,0,3.0003016324048977
18,-1,3,1.0001086997795687
19,-1,2,1.000108700507314
20,-1,0,1.000108700507314
21,-1,0,1.0001086989694132
22,-1,0,1.0001086989694132
23,-1,0,1.0001087026147069
24,5,0,1.0001087392064714
25,-1,4,4.00048093459721
26,-1,0,4.000480936144481
27,-1,2,4.000480936144481
28,-1,0,4.000480935505254
29,-1,0,4.000480935505254
30,6,0,4.000480933638522
31,-1,4,4.000567619054357
32,-1,0,4.000567620151176
33,-1,0,4.000567620151176
34,-1,0,4.000567619856459
35,-1,0,4.000567619856459
36,5,0,4.000567619289233
37,-1,3,2.000322612113588
38,-1,0,2.0003226131988057
39,-1,1,2.0003226131988057
40,-1,0,2.0003226127171843
41,-1,0,2.0003226127171843
42,5,1,2.0003226122194637
43,-1,4,3.0005406675769652
44,-1,0,3.0005406687545446
45,-1,0,3.0005406687545446
46,-1,1,3.0005406685012703
47,-1,0,3.0005406685012703
48,6,1,3.0005406682768747
49,-1,5,2.000403715342762
50,-1,0,2.0004037165086905
51,-1,0,2.0004037165086905
52,-1,1,2.0004037161588224
53,-1,0,2.0004037161588224
54,6,0,2.000403715917061
55,-1,3,2.0004431957485487
56,-1,1,2.0004431970447367
57,-1,0,2.0004431970447367
58,-1,1,2.0004431967267897
59,-1,0,2.0004431967267897
60,6,1,2.0004431965439324
61,-1,4,2.0004876062813715
62,-1,0,2.0004876077791676
63,-1,0,2.0004876077791676
64,-1,0,2.000487607485457
65,-1,0,2.000487607485457
66,5,1,2.0004876073398448
67,-1,3,2.00053770018337
68,-1,1,2.000537701965246
69,-1,0,2.000537701965246
70,-1,0,2.0005377016916173
71,-1,0,2.0005377016916173
72,5,1,2.0005377015720693
73,-1,4,2.000594366702961
74,-1,0,2.0005943688727377
75,-1,0,2.0005943688727377
76,-1,0,2.000594368616603
77,-1,1,2.000594368616603
78,5,0,2.000594368516663
79,-1,3,1.000320823712878
80,-1,1,1.0003208253554152
81,-1,0,1.0003208253554152
82,-1,0,1.0003208248505129
83,-1,0,1.0003208248505129
84,5,1,1.00032082470637
85,-1,4,1.0003379473266931
86,-1,1,1.0003379490738737
87,-1,0,1.0003379490738737
88,-1,0,1.0003379485888584
89,-1,0,1.0003379485888584
90,6,1,1.0003379484831236
91,-1,3,0.0000028425676934560524
92,-1,0,0.0000028425676934560524
93,-1,1,0.0000051128491005487395
94,-1,0,0.0000051128491005487395
95,4,0,0.000007755726985874689
96,-1,4,1.000356221638643
97,-1,0,1.0003562235166439
98,-1,0,1.0003562235166439
99,-1,1,1.0003562230475151
100,-1,0,1.0003562230475151
101,5,0,1.000356222976448
102,-1,4,1.000375740283512
103,-1,1,1.0003757423326567
104,-1,0,1.0003757423326567
105,-1,0,1.0003757418764039
106,-1,0,1.0003757418764039
107,6,0,1.0003757418251187
108,-1,3,1.0003966044522388
109,-1,0,1.000396606707518
110,-1,0,1.000396606707518
111,-1,1,1.0003966062626273
112,-1,0,1.0003966062626273
113,4,0,1.0003966062270997
114,-1,4,0.0000031706804023381472
115,-1,0,0.0000031706804023381472
116,-1,0,0.000005190873010737847
117,-1,0,0.000005190873010737847
118,5,1,0.000008187950498350778
119,-1,4,1.0004189255735647
120,-1,0,1.000418928170556
121,-1,0,1.000418928170556
122,-1,0,1.0004189277352775
123,-1,0,1.0004189277352775
124,5,0,1.0004189276006141
125,-1,4,1.0004428261559057
126,-1,0,1.0004428290300513
127,-1,0,1.0004428290300513
128,-1,1,1.0004428286102052
129,-1,0,1.0004428286102052
130,5,0,1.0004428285018176
131,-1,3,0.0003128831890904054
132,-1,0,0.0003128831890904054
133,-1,1,0.00031427965707372165
134,-1,0,0.00031427965707372165
135,4,0,0.0003200366151303169
136,-1,2,0.0000034956931292862258
137,-1,0,0.0000034956931292862258
138,-1,1,0.000007892744723744219
139,-1,0,0.000007892744723744219
140,-1,0,0.000019298677652877603
141,4,0,0.00015492131459105357
