step,opt_time,step_time,diff_norm
0,-1,6,0
1,-1,0,0
2,-1,5,0.6047246698851341
3,-1,0,0.001103687865979074
4,-1,0,0
5,-1,1,0
6,-1,0,0
7,6,0,0
8,-1,6,1.865932089440594
9,-1,1,1.1405855119080401
10,-1,1,0.2729586549428905
11,-1,0,0.014393018371797742
12,-1,5,4.407685076566126
13,-1,0,2.9922434557131683
14,-1,1,0.3401937034994646
15,-1,1,0.05552249734171169
16,-1,0,0.009825625427775094
17,-1,1,0
18,-1,0,0
19,-1,0,0
20,-1,0,0
21,9,1,0
22,-1,5,6.365604939052101
23,-1,1,4.547969328105226
24,-1,0,0.4673262838616821
25,-1,1,0.23036358203339735
26,-1,4,9.132810137419881
27,-1,0,3.8155489208479794
28,-1,1,0.3764842359426515
29,-1,1,0.35918431014153945
30,-1,0,0.12746145656040525
31,-1,1,0.13350292456732815
32,-1,0,0.00807827587344254
33,-1,1,0
34,-1,0,0
35,-1,0,0
36,-1,4,12.249392389148085
37,-1,1,2.3377116846988675
38,-1,0,1.0486190173801044
39,-1,1,0.3445652560423322
40,-1,0,0.23393379624207536
41,-1,1,0.09550035336522467
42,-1,0,0.001047289766165422
43,-1,0,0
44,-1,2,0.0006169844117623898
45,-1,4,17.337601953324015
46,-1,0,8.637520908225792
47,-1,1,0.43386124008068944
48,-1,0,0.04062002317599785
49,-1,1,0.0034162508733209043
50,-1,0,0.000009004849166034644
51,-1,0,0
52,-1,0,2.5579545976554987e-8
53,-1,1,0
54,7,0,0
55,-1,4,30.000534342725565
56,-1,0,2.2343708140787766
57,-1,0,1.262108138048173
58,-1,1,0.4302890977452215
59,-1,0,0.14929979192188117
60,-1,1,0.0034658945645609086
61,-1,0,0
62,-1,1,0.0031645975440244478
63,-1,0,0
64,7,0,0
65,-1,3,11.054768993591578
66,-1,1,0.4731546265426308
67,-1,0,0.19969447130991932
68,-1,0,0.06388901877799939
69,-1,2,0.10358357369266435
70,-1,0,0.011934379749208064
71,-1,0,0
72,-1,0,0
73,-1,1,0
74,-1,0,0
75,7,0,0
76,-1,3,14.13931991925889
77,-1,0,8.226319921356126
78,-1,1,1.7782723102233555
79,-1,0,1.187077891765757
80,-1,1,1.799769516980651
81,-1,0,0.40517277834910614
82,-1,1,0.18865272303917016
83,-1,0,0.0670203951964154
84,-1,0,0
85,-1,0,0
86,-1,1,0
87,-1,0,0
88,7,0,0
89,-1,3,15.248950782086515
90,-1,1,1.9237240131517488
91,-1,0,5.778436489463834
92,-1,1,0.7338923775648312
93,-1,0,0.224390518206829
94,-1,0,0.2797881128619638
95,-1,1,0.3636765742964421
96,-1,0,0.16717494586946394
97,-1,1,0.0679338055574305
98,-1,0,0.0008633061706456051
99,-1,0,0
100,-1,1,0
101,-1,0,0
102,8,0,0
103,-1,3,13.943038056982031
104,-1,1,1.031780350131168
105,-1,0,1.9724402777798122
106,-1,1,0.1948554357168922
107,-1,0,1.292729397957562
108,-1,1,0.25382106323926446
109,-1,0,0.2428535742696514
110,-1,1,0.05356860440074539
111,-1,0,0.0011241196713019641
112,-1,0,0
113,-1,1,0.00214247269320612
114,-1,0,0
115,8,0,0
116,-1,3,11.714967544161556
117,-1,0,1.9778779871116716
118,-1,1,0.3047422289241735
119,-1,0,0.4049575136364618
120,-1,0,0.3860826626062736
121,-1,1,0.14652396989312533
122,-1,0,0.2778183388794506
123,-1,0,0.0555226596213824
124,-1,1,0.0009725351643146676
125,-1,0,0
126,-1,1,0.0013217794942000983
127,-1,0,0
128,7,0,0
129,-1,2,7.1851318488446445
130,-1,1,2.2299229302970276
131,-1,0,0.040484922008962976
132,-1,1,0.01426739285157119
133,-1,0,0.0010366463948999292
134,-1,0,0
