step,opt_time,step_time,diff_norm
0,NaN,NaN,2.549393428283991
1,-1,2,0.26287890217886745
2,-1,0,0.029481930074909606
3,-1,1,0.015580710809525295
4,-1,0,0.003779365538768108
5,-1,1,0.0010575285903987942
6,-1,0,0.0001942164345763847
7,-1,0,0.000001148000877869132
8,-1,0,0.0000026379297609096597
9,-1,1,0.7071067811865476
10,-1,1,0
11,-1,1,0
12,-1,0,0
13,-1,0,0
14,-1,1,0
15,-1,0,0
16,-1,0,0
17,-1,0,0
18,-1,0,0
19,-1,0,0
20,3,0,1.5811388300841898
21,-1,1,0
22,-1,0,0
23,-1,1,0
24,-1,0,0
25,-1,1,0
26,-1,0,0
27,-1,0,0
28,3,0,6.946221994724902
29,-1,2,0
30,-1,0,0
31,-1,0,0
32,-1,0,0
33,-1,1,0
34,-1,0,0
35,-1,0,0
36,-1,0,0
37,-1,0,0
38,3,0,3.3541019662496847
39,-1,3,0
40,-1,1,0
41,-1,0,0
42,-1,0,0
43,-1,0,0
44,-1,0,0
45,-1,1,0
46,-1,0,0
47,-1,0,0
48,-1,0,0
49,-1,0,0
50,6,0,4.301162633521313
51,-1,0,0
52,-1,1,0
53,-1,0,0
54,-1,0,0
55,-1,0,0
56,-1,0,0
57,-1,0,0
58,-1,0,0
59,1,0,10.898292217043663
60,-1,0,1.1721305651840719
61,-1,1,0.07654446005499542
62,-1,0,0.029674267180006507
63,-1,0,0.01644987549013927
64,-1,0,0.020591171808635584
65,-1,0,0.0052934036794650184
66,-1,0,0.0038908339026750187
67,-1,1,0.000964401619017017
68,-1,1,0.0006366769605385135
69,-1,0,0.00013085306954381645
70,-1,0,0.00009844584465468037
71,-1,0,0.000028043041420410097
72,-1,0,0.000035011924076787916
73,-1,1,0.000007745636194787367
74,-1,0,0
75,-1,0,0.053495971104339665
76,-1,0,0.032509081376221
77,-1,0,0.001207435033797982
78,-1,0,0.00020561202879019905
79,-1,0,0.000036912253180739586
80,-1,0,0.0000397042275308057
81,-1,0,0.00002038883821290068
82,-1,1,0.000007435732833115001
83,-1,0,0.0000028724625276239335
84,-1,0,0
85,-1,0,0.0024413923045063972
86,-1,0,0.0016762257085455856
87,-1,0,0.0007586113574836882
88,-1,0,0.000017620065733735343
89,-1,0,0.000013535779522108192
90,-1,0,0.000002245694649743404
91,6,1,7.09416626635734
92,-1,1,0.41406722085640013
93,-1,0,0.4578105884803095
94,-1,1,0.04828412504591179
95,-1,0,0.0356368482721111
96,-1,0,0.01973903596761085
97,-1,0,0.011956701833868941
98,-1,0,0.00800102978236185
99,-1,0,0.003152679276199219
100,-1,0,0.0028080725536161846
101,-1,1,0.0035624363417867716
102,-1,0,0.0011393878298381625
103,-1,0,0.0014125629173231563
104,-1,0,0.0008050515497929313
105,-1,0,0.0004989078178859412
106,-1,0,0.00014155464666220022
107,-1,0,0
108,-1,0,0.05508545505811182
109,-1,1,0.032621071210424256
110,-1,0,0.00399584332473806
111,-1,0,0.0017755423654785365
112,-1,0,0.0005100056773429969
113,-1,0,0.00020681925992749913
114,-1,0,0.00006485393400583041
115,-1,1,0.000024486624485466674
116,-1,0,0.000015043084963035363
117,-1,0,0.000005070132114114297
118,-1,0,6.238200868193918e-7
119,-1,0,0
120,-1,0,8.834718987647023e-8
121,-1,0,1.462917920914642e-7
122,5,0,6.392656715571957
123,-1,1,1.8325397546552242
124,-1,0,0.07715300876046668
125,-1,1,0.07905052086244732
126,-1,0,0.037852690196560325
127,-1,0,0.031171596802651264
128,-1,0,0.01200548107753935
129,-1,0,0.004483999364421072
130,-1,0,0.0014732836050564112
131,-1,0,0.0009470608733261436
132,-1,0,0.00022300478473601882
133,-1,1,0.00009252934953524735
134,-1,0,0.00006321290460117606
135,-1,0,0.000022050888805380488
136,-1,0,0.00001939949433725104
137,-1,0,0.000005863642092837745
138,-1,0,0.000005889137721202035
139,-1,0,0
140,-1,0,0.028083550250757084
141,-1,1,0.022702094828408705
142,-1,0,0.005537522284019436
143,-1,0,0.00024361004995048424
144,-1,0,0.00008233867583492925
145,-1,0,0.000004853457763543065
146,-1,0,0.0000017119894190248851
147,-1,0,0.000001168202577298258
148,-1,0,0
149,-1,0,0.0023382085971657023
150,-1,1,0.0018436470611609566
151,-1,0,0.0004535854420221992
152,-1,0,0.00004001858823921271
153,-1,0,0.0000012000777826266282
154,-1,0,5.748484713212486e-7
155,5,0,7.3190348691674005
156,-1,1,1.1627878031997827
157,-1,0,0.5476250206767095
158,-1,1,0.06858195588885183
159,-1,0,0.06891964125166097
160,-1,0,0.06539036150469084
161,-1,1,0.01987976395613333
162,-1,0,0.012311427719195063
163,-1,0,0.003921206354685753
164,-1,0,0.001534375742804771
165,-1,0,0.00014391322951587827
166,-1,0,0.00034407797527420854
167,-1,0,0.00023427965884958957
168,-1,0,0.0001351260094214367
169,-1,0,0.00004547131763706987
170,-1,0,0.000060153131292521924
171,-1,0,0.000031340368094432364
172,-1,0,0.000010914981168073757
173,-1,1,0.000004069804763108437
174,-1,0,0.0000021190682749563113
175,-1,0,0
176,-1,0,0.013021416107663174
177,-1,0,0.01015857145325792
178,-1,0,0.0013633463481107686
179,-1,1,0.00030838172722091634
180,-1,0,0.00006885775589272144
181,-1,0,0.000029362193444242288
182,-1,0,0.000014374962652236618
183,-1,0,0.0000049412284094008594
184,-1,0,0.0000011615043476586225
185,-1,0,0
186,-1,0,0.0028523715370928717
187,-1,1,0.002817946240756788
188,-1,0,0.000035110500728456875
189,-1,0,8.794532966327898e-7
190,-1,0,2.408878518598966e-8
191,6,0,8.313975579767435
192,-1,1,0.8783174997346366
193,-1,0,1.486917140579547
194,-1,0,0.9311375112800333
195,-1,0,0.10337373199335716
196,-1,1,0.02211316922892142
197,-1,0,0.015849235336478307
198,-1,0,0.014498040386271404
199,-1,0,0.011173366483454508
200,-1,0,0.002362745454048582
201,-1,0,0.0012269205756159417
202,-1,0,0.0007901091814139932
203,-1,1,0.00031056907043782063
204,-1,0,0.00021239722669114426
205,-1,0,0.00007379527989783834
206,-1,0,0.000042315330667505906
207,-1,0,0.000026842762007457938
208,-1,0,0.0000074170081219407915
209,-1,0,0.000005414428002682934
210,-1,0,0
211,-1,0,0.010570951037203598
212,-1,0,0.007747820037387023
213,-1,1,0.0023381214391530844
214,-1,0,0.0006989137317187365
215,-1,0,0.0003169459120997504
216,-1,0,0.0002027872158118853
217,-1,0,0.000047461149029978264
218,-1,0,0.000019252141962249994
219,-1,0,0.000005633042813235966
220,-1,0,0.000003024789349154167
221,-1,0,0
222,-1,0,0.0022108538259513915
223,-1,1,0.0019855141504705872
224,-1,0,0.00021718238060636054
225,-1,0,0.000007721095601846028
226,-1,0,1.2992692378410664e-7
227,5,0,5.657558772719713
228,-1,1,2.522235167182423
229,-1,0,0.7184242942969675
230,-1,0,0.30438250583135673
231,-1,0,0.193804275937616
232,-1,0,0.03641219602296099
233,-1,1,0.014733401280343067
234,-1,0,0.01060282342979299
235,-1,0,0.005987707154497892
236,-1,0,0.005659157234398129
237,-1,0,0.0026765534539117384
238,-1,0,0.0005173358198401082
239,-1,0,0.001043340030930881
240,-1,1,0.0009399035608084628
241,-1,0,0.0011397351635188153
242,-1,0,0.0015305211288019658
243,-1,0,0.0020808970217240826
244,-1,0,0.004414734523862053
245,-1,0,0.01037418325450775
246,-1,0,0.000303599348860446
247,-1,0,0.000010251422721364627
248,-1,1,0
249,-1,0,0.010378849264119009
250,-1,0,0.0061771069607914455
251,-1,0,0.0013365042304328157
252,-1,0,0.000013963856568385845
253,-1,0,0.0000051577867514114444
254,-1,0,6.201134201590647e-7
255,-1,0,0
256,-1,0,0.00014041795881116758
257,-1,1,0.00017774679954318473
258,-1,0,0.00010166694290112527
259,-1,0,0.000010117631637327233
260,-1,0,0.0000026713827467794967
261,5,0,5.422435335814201
262,-1,1,2.326705761330394
263,-1,0,0.5219756150260865
264,-1,0,0.13444404708531785
265,-1,0,0.1539235427344267
266,-1,1,0.08242756362866109
267,-1,0,0.044062869209888784
268,-1,0,0.008438778360211412
