step,opt_time,step_time,diff_norm
0,NaN,NaN,136.91400743245728
1,-1,3,0
2,-1,1,0
3,-1,0,0
4,-1,0,0
5,4,0,1
6,-1,3,0
7,-1,0,0
8,-1,0,0
9,-1,0,0
10,3,0,1
11,-1,3,0
12,-1,0,0
13,-1,0,0
14,-1,0,0
15,3,0,1.118033988749895
16,-1,1,0
17,-1,0,0
18,-1,0,0
19,-1,0,0
20,1,0,1.8027756377319946
21,-1,3,0
22,-1,0,0
23,-1,0,0
24,-1,0,0
25,3,0,2.1213203435596424
26,-1,2,0
27,-1,0,0
28,-1,0,0
29,-1,0,0
30,2,0,4.301162633521313
31,-1,2,0
32,-1,0,0
33,-1,0,0
34,-1,0,0
35,2,0,5.408326913195984
36,-1,1,0
37,-1,0,0
38,-1,0,0
39,-1,0,0
40,1,0,2.5
41,-1,2,0
42,-1,0,0
43,-1,1,0
44,-1,0,0
45,3,0,3.605551275463989
46,-1,1,0
47,-1,0,0
48,-1,0,0
49,-1,0,0
50,1,0,16.006350370455532
51,-1,1,0
52,-1,0,0
53,-1,0,0
54,-1,0,0
55,-1,1,0
56,2,0,3.3541019662496847
57,-1,2,0
58,-1,0,0
59,-1,0,0
60,-1,0,0
61,3,1,3.8078865529319543
62,-1,3,0
63,-1,0,0
64,-1,0,0
65,-1,0,0
66,3,0,3.8078865529319543
67,-1,2,0
68,-1,0,0
69,-1,0,0
70,-1,1,0
71,3,0,7.125498649478111
72,-1,1,0
73,-1,0,0
74,-1,0,0
75,-1,0,0
76,1,0,4.266598942285354
77,-1,1,0.0890973155070917
78,-1,0,0
79,-1,0,0
80,-1,0,0
81,-1,0,0
82,-1,0,0
83,1,0,5.358440861289959
84,-1,2,1.9856043992193089
85,-1,0,0.09729032725637184
86,-1,0,0
87,-1,0,0
88,-1,0,0
89,-1,0,0
90,-1,0,0
91,2,0,4.840507749402805
92,-1,2,2.096747853082685
93,-1,0,0.08465624120837559
94,-1,0,0
95,-1,0,0
96,-1,0,0
97,-1,0,0
98,-1,0,0
99,2,0,4.629459479623262
100,-1,0,1.967798966081963
101,-1,0,0.04430709030523928
102,-1,0,0
103,-1,0,0
104,-1,0,0
105,-1,0,0
106,-1,0,0
107,0,0,3.8278246268543574
108,-1,2,1.520043751798162
109,-1,0,0.012720404103411825
110,-1,0,0
111,-1,0,0
112,-1,0,0
113,-1,0,0
114,-1,0,0
115,2,0,4.45376197087836
116,-1,0,1.7572562495482718
117,-1,0,0.007281523195279206
118,-1,0,0
119,-1,0,0
120,-1,0,0
121,-1,0,0
122,-1,0,0
123,0,0,4.493836738957051
124,-1,4,1.569357484564607
125,-1,0,0.01623853655952612
126,-1,0,0
127,-1,1,0
128,-1,0,0
129,-1,0,0
130,-1,0,0
131,5,0,5.20529349904933
132,-1,2,1.5517971083456419
133,-1,1,0.13710504519280511
134,-1,0,0
135,-1,0,0
136,-1,0,0
137,-1,0,0
138,-1,0,0
139,3,0,4.971917932611521
140,-1,4,1.850185989443394
141,-1,0,0
142,-1,0,0
143,-1,0,0
144,-1,0,0
145,-1,0,0
146,4,0,5.4187715088569774
147,-1,2,1.653548750483428
148,-1,0,0.3484341520029573
149,-1,1,0
150,-1,0,0
151,-1,0,0
152,-1,0,0
153,-1,0,0
154,3,0,4.777726033699351
155,-1,2,1.7406238752649505
156,-1,0,0
157,-1,0,0
158,-1,0,0
159,-1,0,0
160,-1,0,0
161,2,0,4.151498780927396
162,-1,4,1.4389441363946192
163,-1,0,0.23243932965125924
164,-1,0,0
165,-1,0,0
166,-1,0,0
167,-1,0,0
168,-1,0,0
169,4,0,4.068400516072139
170,-1,2,1.121656031199997
171,-1,0,0.3972628840361705
172,-1,0,0.00007007346116030762
173,-1,0,0
174,-1,0,0
175,-1,1,0
176,-1,0,0
177,3,0,4.021818116756844
178,-1,4,0.91455892974246
179,-1,0,0.5123224601415499
180,-1,0,0.0003053779856004407
181,-1,0,0
182,-1,0,0
183,-1,0,0
184,-1,0,0
185,4,0,3.354721072359884
186,-1,1,1.1692715057363592
187,-1,0,0.1840670684557607
188,-1,0,0.0002769202981453988
189,-1,0,0
190,-1,0,0
191,-1,0,0
192,-1,0,0
193,1,0,3.318120289301674
194,-1,1,0.8179859029412299
195,-1,0,0.5889882866971624
196,-1,0,0.07998844387555686
197,-1,0,7.438629463930269e-7
198,-1,0,0
199,-1,0,4.9453786637623525e-8
200,-1,0,0
201,-1,0,0
202,1,0,14.238477410273497
203,-1,2,0.3606457834340132
204,-1,0,0.7759020626414783
205,-1,0,0.11430513186117758
206,-1,0,0
207,-1,0,0
208,-1,0,0
209,-1,0,0
210,-1,0,0
211,2,0,2.9188602745477072
212,-1,1,0.29316663616943184
213,-1,0,0
214,-1,0,0
215,-1,0,0
216,-1,0,0
217,-1,0,0
218,1,0,4.298641216459649
219,-1,2,1.4243118529517356
220,-1,0,0.0015046655427656765
221,-1,0,0
222,-1,0,0
223,-1,0,0
224,-1,0,0
225,2,0,55.96617057377533
226,-1,3,0
227,-1,0,0
228,-1,0,0
229,-1,0,0
230,4,1,4.47213595499958
231,-1,0,0
232,-1,0,0
233,-1,0,0
234,-1,0,0
235,0,0,3.8078865529319543
236,-1,2,0
237,-1,0,0
238,-1,0,0
239,-1,0,0
240,2,0,2.9154759474226504
241,-1,1,0
242,-1,0,0
243,-1,0,0
244,-1,0,0
245,1,0,2.9154759474226504
246,-1,2,0
247,-1,0,0
248,-1,0,0
249,-1,0,0
250,2,0,2.9154759474226504
251,-1,2,0
252,-1,1,0
253,-1,0,0
254,-1,0,0
255,3,0,2.23606797749979
