step,opt_time,step_time,diff_norm
0,NaN,NaN,41.572072198710906
1,-1,10,18.461039301380318
2,-1,7,38.605893517465866
3,-1,2,43.59487423161778
4,-1,1,45.747600702786535
5,-1,1,45.25047840572321
6,-1,1,47.10507251789742
7,-1,1,46.63237270319711
8,-1,0,47.76024208936104
9,-1,1,49.517418914135575
10,-1,2,51.39500947215064
11,-1,2,56.0258475393371
12,-1,1,59.487835490662476
13,-1,0,3.757821680950286
14,-1,5,3.9975091359919825
15,-1,1,4.015110962550601
16,-1,2,4.087130789232135
17,-1,1,4.256774367306162
18,-1,1,5.185001340879395
19,-1,1,5.469179934777416
20,-1,1,5.857934290578016
21,-1,1,6.0326681114962595
22,-1,1,6.057957098337812
23,-1,0,6.25795427392479
24,-1,1,7.549975989866088
25,-1,0,7.982904643847643
26,-1,1,8.441216815952734
27,-1,1,8.195778783851617
28,-1,1,8.293762029570898
29,-1,1,8.729341171106338
30,-1,0,10.724713173508372
31,-1,1,11.304011300333574
32,-1,1,11.37938237764725
33,-1,0,11.588533007379413
34,-1,0,11.690361589267484
35,-1,2,11.593926997123255
36,-1,1,11.363087311720864
37,-1,0,12.260860753778752
38,-1,1,10.123372040817495
39,-1,4,10.523427827821987
40,-1,1,10.414444742683918
41,-1,1,10.547663192050331
42,-1,0,10.703938355362789
43,-1,1,11.340078247226415
44,-1,1,12.189605751502972
45,-1,1,12.55358208889177
46,-1,0,12.729077254376499
47,-1,1,13.791691667055828
48,-1,1,14.302830071074375
49,-1,0,14.090152842431529
50,-1,1,15.036347281381616
51,-1,1,16.81444690273979
52,-1,0,16.9375153500935
53,-1,1,17.451119924824344
54,-1,0,17.87367092178635
55,-1,1,18.179236488060955
56,-1,1,18.53215501943588
57,-1,1,18.633379391358304
58,-1,0,18.63013609148927
59,-1,1,18.65387286425223
60,-1,1,18.667524736845955
61,-1,1,18.648964824465676
62,-1,0,18.704711575374134
63,-1,1,18.880156093420275
64,-1,0,18.908200282388627
65,-1,1,18.903657614741206
66,-1,1,18.9720073004238
67,-1,1,19.341410821370754
68,-1,0,19.455088735836636
69,-1,1,15.973580513534948
70,-1,3,16.594520783152326
71,-1,1,16.645956761106287
72,-1,1,16.57502952943708
73,-1,0,16.787947533908476
74,-1,0,16.89141292254934
75,-1,1,17.057741211555598
76,-1,0,17.327428331953403
77,-1,1,17.74410969877167
78,-1,1,18.488992859296893
79,-1,1,18.643124641889386
80,-1,0,18.621901220696493
81,-1,1,18.6253847960249
82,-1,1,18.678179181226795
83,-1,1,19.073684875011594
84,-1,0,24.9889425254601
85,-1,1,31.92174988256569
86,-1,1,38.2918682824279
87,-1,0,40.963575999606654
